PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
10,11,22,0,0,16,9,0,16,0,0
10,11,23,0,0,16,9,0,16,0,0
10,12,0,0,0,16,9,0,16,0,0
10,12,1,0,0,16,9,0,16,0,0
10,12,2,0,0,16,9,0,16,0,0
10,12,3,0,0,16,9,0,16,0,0
10,12,4,0,0,16,9,0,16,0,0
10,12,5,0,0,15,9,0,15,0,0
10,12,6,0,3,15,9,2.835,14.116,2.56,0
10,12,7,0,7,15,9,6.624,14.17,5.981,0.771
10,12,8,0,91,16,9,86.966,16.288,77.78,71.167
10,12,9,1,168,16,8,164.817,17.534,146.574,138.437
10,12,10,0,130,16,8,125.019,17.014,111.448,104.11
10,12,11,0,148,16,8,142.957,17.245,127.306,119.613
10,12,12,6,195,16,8,196.115,18.049,173.994,165.2
10,12,13,41,229,16,8,268.575,19.172,236.87,226.465
10,12,14,0,116,16,8,112.043,16.916,99.925,92.841
10,12,15,0,19,15,8,17.994,14.369,16.233,10.834
10,12,16,0,4,15,8,3.78,14.073,3.415,0
10,12,17,0,0,15,8,0,15,0,0
10,12,18,0,0,15,8,0,15,0,0
10,12,19,0,0,15,7,0,15,0,0
10,12,20,0,0,15,7,0,15,0,0
10,12,21,0,0,15,7,0,15,0,0
10,12,22,0,0,15,7,0,15,0,0
10,12,23,0,0,15,7,0,15,0,0
10,13,0,0,0,15,7,0,15,0,0
10,13,1,0,0,15,6,0,15,0,0
10,13,2,0,0,15,6,0,15,0,0
10,13,3,0,0,15,6,0,15,0,0
10,13,4,0,0,15,6,0,15,0,0
10,13,5,0,0,15,5,0,15,0,0
10,13,6,139,39,15,5,70.847,15.039,55.783,49.62
10,13,7,0,23,15,5,21.787,14.19,19.67,14.207
10,13,8,0,80,15,5,76.077,15.178,68.383,61.965
10,13,9,14,195,16,4,202.782,19.132,178.956,170.04
10,13,10,0,163,17,4,158.318,19.433,139.586,131.612
10,13,11,2,176,17,3,173.133,19.952,152.282,144.01
10,13,12,1,173,17,3,169.343,19.899,148.985,140.791
10,13,13,3,174,17,3,172.572,19.967,151.765,143.506
10,13,14,578,125,17,2,504.462,29.276,417.028,401.192
10,13,15,0,70,17,2,67.076,18.685,59.342,53.107
10,13,16,103,46,16,2,73.675,16.316,60.073,53.824
10,13,17,0,0,16,2,0,16,0,0
10,13,18,0,0,16,2,0,16,0,0
10,13,19,0,0,16,2,0,16,0,0
10,13,20,0,0,16,2,0,16,0,0
10,13,21,0,0,16,3,0,16,0,0
10,13,22,0,0,16,3,0,16,0,0
10,13,23,0,0,15,4,0,15,0,0
10,14,0,0,0,14,6,0,14,0,0
10,14,1,0,0,13,7,0,13,0,0
10,14,2,0,0,12,7,0,12,0,0
10,14,3,0,0,12,7,0,12,0,0
10,14,4,0,0,11,7,0,11,0,0
10,14,5,0,0,11,7,0,11,0,0
10,14,6,372,29,10,7,106.615,10.577,76.144,69.565
10,14,7,726,54,10,7,360.235,14.776,298.386,286.263
10,14,8,864,67,10,7,599.943,18.905,517.113,497.74
10,14,9,930,74,11,6,782.904,24.349,669.46,643.986
10,14,10,962,78,11,6,902.498,26.684,767.081,737.244
10,14,11,973,78,12,5,944.581,30.531,789.052,758.185
10,14,12,964,76,13,5,906,30.855,754.953,725.677
10,14,13,938,70,13,5,792.015,28.59,664.141,638.895
10,14,14,877,64,13,4,611.29,26.546,509.338,490.253
10,14,15,756,52,13,4,381.258,21.185,308.444,296.026
10,14,16,455,30,12,4,126.863,14.065,88.617,81.776
10,14,17,0,0,11,4,0,11,0,0
10,14,18,0,0,11,4,0,11,0,0
10,14,19,0,0,10,4,0,10,0,0
10,14,20,0,0,10,4,0,10,0,0
10,14,21,0,0,9,4,0,9,0,0
10,14,22,0,0,9,4,0,9,0,0
10,14,23,0,0,9,4,0,9,0,0
10,15,0,0,0,9,4,0,9,0,0
10,15,1,0,0,8,4,0,8,0,0
10,15,2,0,0,8,4,0,8,0,0
10,15,3,0,0,8,4,0,8,0,0
10,15,4,0,0,8,4,0,8,0,0
10,15,5,0,0,8,4,0,8,0,0
10,15,6,368,28,8,3,105.237,8.758,75.717,69.147
10,15,7,259,96,9,3,211.006,12.67,182.375,173.375
10,15,8,243,172,10,3,336.401,17.013,296.116,284.059
10,15,9,441,196,11,2,557.23,25.301,475.554,457.695
10,15,10,634,166,12,2,734.8,31.593,610.308,587.305
10,15,11,454,244,12,3,682.458,28.541,575.902,554.277
10,15,12,477,224,12,3,665.138,28.008,562.331,541.237
10,15,13,432,201,12,3,559.532,25.492,477.294,459.373
10,15,14,216,179,12,3,323.21,19.606,281.613,269.972
10,15,15,136,108,12,3,172.076,15.322,149.895,141.679
10,15,16,18,34,11,3,38.287,10.61,34.075,28.339
10,15,17,0,0,11,3,0,11,0,0
10,15,18,0,0,12,4,0,12,0,0
10,15,19,0,0,12,4,0,12,0,0
10,15,20,0,0,12,4,0,12,0,0
10,15,21,0,0,12,4,0,12,0,0
10,15,22,0,0,12,4,0,12,0,0
10,15,23,0,0,13,5,0,13,0,0
10,16,0,0,0,13,6,0,13,0,0
10,16,1,0,0,13,6,0,13,0,0
10,16,2,0,0,13,6,0,13,0,0
10,16,3,0,0,13,7,0,13,0,0
10,16,4,0,0,13,7,0,13,0,0
10,16,5,0,0,13,8,0,13,0,0
10,16,6,0,4,13,9,3.78,12.112,3.445,0
10,16,7,0,45,13,9,42.692,12.65,38.81,32.982
10,16,8,0,80,13,9,76.134,13.139,69.061,62.628
10,16,9,0,90,14,10,85.632,14.284,77.281,70.678
10,16,10,0,151,14,10,146.317,15.07,131.583,123.793
10,16,11,14,221,15,11,230.483,17.064,205.393,195.813
10,16,12,0,118,15,10,113.159,15.749,101.453,94.335
10,16,13,0,142,16,9,137.709,17.069,122.73,115.141
10,16,14,0,24,17,7,22.751,16.446,20.334,14.859
10,16,15,0,37,18,6,35.082,17.483,31.207,25.526
10,16,16,87,40,18,7,63.978,18.013,51.883,45.798
10,16,17,0,0,17,7,0,17,0,0
10,16,18,0,0,17,7,0,17,0,0
10,16,19,0,0,16,7,0,16,0,0
10,16,20,0,0,15,8,0,15,0,0
10,16,21,0,0,14,9,0,14,0,0
10,16,22,0,0,12,8,0,12,0,0
10,16,23,0,0,11,8,0,11,0,0
10,17,0,0,0,10,7,0,10,0,0
10,17,1,0,0,10,7,0,10,0,0
10,17,2,0,0,10,6,0,10,0,0
10,17,3,0,0,10,6,0,10,0,0
10,17,4,0,0,10,5,0,10,0,0
10,17,5,0,0,10,5,0,10,0,0
10,17,6,370,24,10,4,100.873,10.767,70.941,64.47
10,17,7,703,50,11,4,342.673,17.238,279.745,268.158
10,17,8,831,63,11,3,570.187,23.941,479.539,461.538
10,17,9,893,71,12,3,745.048,29.587,621.088,597.644
10,17,10,924,75,13,2,859.214,36.287,696.837,670.175
10,17,11,932,77,14,2,898.968,38.575,721.61,693.849
10,17,12,920,77,15,2,861.015,38.696,690.032,663.668
10,17,13,886,73,15,2,747.393,35.732,604.93,582.145
10,17,14,818,67,15,2,573.992,30.957,467.694,450.114
10,17,15,683,54,15,2,346.145,24.437,275.109,263.652
10,17,16,364,27,14,3,106.164,15.79,74.49,67.945
10,17,17,0,0,13,3,0,13,0,0
10,17,18,0,0,13,3,0,13,0,0
10,17,19,0,0,13,4,0,13,0,0
10,17,20,0,0,13,4,0,13,0,0
10,17,21,0,0,13,4,0,13,0,0
10,17,22,0,0,13,3,0,13,0,0
10,17,23,0,0,13,3,0,13,0,0
10,18,0,0,0,13,4,0,13,0,0
10,18,1,0,0,13,4,0,13,0,0
10,18,2,0,0,12,4,0,12,0,0
10,18,3,0,0,12,4,0,12,0,0
10,18,4,0,0,11,4,0,11,0,0
10,18,5,0,0,10,5,0,10,0,0
10,18,6,161,31,10,5,70.309,10.145,55.236,49.084
10,18,7,564,72,10,5,311.605,14.835,259.76,248.732
10,18,8,753,85,10,5,549.338,19.89,471.354,453.644
10,18,9,853,89,11,4,739.041,26.829,624.33,600.753
10,18,10,914,84,12,4,858.802,30.746,715.605,688.113
10,18,11,931,83,12,4,902.231,31.907,748.412,719.437
10,18,12,925,80,13,4,865.656,32.19,716.339,688.815
10,18,13,896,74,13,4,752.973,29.727,627.402,603.699
10,18,14,831,66,13,4,577.808,25.745,482.329,464.228
10,18,15,699,53,13,3,349.269,21.271,281.091,269.465
10,18,16,385,25,12,3,106.682,13.793,74.423,67.879
10,18,17,0,0,11,3,0,11,0,0
10,18,18,0,0,11,3,0,11,0,0
10,18,19,0,0,11,3,0,11,0,0
10,18,20,0,0,11,2,0,11,0,0
10,18,21,0,0,11,2,0,11,0,0
10,18,22,0,0,11,2,0,11,0,0
10,18,23,0,0,11,2,0,11,0,0
10,19,0,0,0,11,2,0,11,0,0
10,19,1,0,0,11,2,0,11,0,0
10,19,2,0,0,11,3,0,11,0,0
10,19,3,0,0,11,3,0,11,0,0
10,19,4,0,0,11,3,0,11,0,0
10,19,5,0,0,11,4,0,11,0,0
10,19,6,0,15,12,4,14.207,10.948,13.013,7.674
10,19,7,0,75,13,5,72.947,13.077,66.189,59.815
10,19,8,559,109,14,6,460.91,21.02,394.465,379.376
10,19,9,375,203,15,7,503.307,22.509,435.124,418.677
10,19,10,63,260,15,8,325.134,19.277,286.691,274.906
10,19,11,147,292,15,8,446.605,20.917,390.805,375.836
10,19,12,145,278,16,9,424.584,21.277,370.793,356.466
10,19,13,361,208,16,9,500.407,22.304,433.178,416.797
10,19,14,66,168,16,9,213.637,18.414,188.202,179.057
10,19,15,84,100,16,9,141.698,17.202,123.204,115.604
10,19,16,0,24,16,9,22.932,15.511,20.582,15.102
10,19,17,0,0,16,8,0,16,0,0
10,19,18,0,0,16,8,0,16,0,0
10,19,19,0,0,16,7,0,16,0,0
10,19,20,0,0,16,6,0,16,0,0
10,19,21,0,0,15,6,0,15,0,0
10,19,22,0,0,15,6,0,15,0,0
10,19,23,0,0,15,5,0,15,0,0
10,20,0,0,0,14,5,0,14,0,0
10,20,1,0,0,13,5,0,13,0,0
10,20,2,0,0,12,5,0,12,0,0
10,20,3,0,0,11,5,0,11,0,0
10,20,4,0,0,11,5,0,11,0,0
10,20,5,0,0,11,5,0,11,0,0
10,20,6,252,25,11,5,81.592,11.239,60.013,53.765
10,20,7,296,85,11,5,217.113,14.006,185.088,176.02
10,20,8,780,75,12,5,548.449,21.73,465.851,448.336
10,20,9,861,82,12,4,732.298,27.66,615.873,592.643
10,20,10,906,83,13,4,845.732,31.427,702.223,675.324
10,20,11,521,208,13,4,693.39,28.416,585.196,563.203
10,20,12,582,176,14,4,690.738,29.027,580.67,558.857
10,20,13,690,114,14,4,649.658,28.143,545.702,525.25
10,20,14,779,62,14,4,537.172,25.64,448.102,431.208
10,20,15,431,73,14,3,259.306,20.005,212.633,202.866
10,20,16,167,26,13,3,66.425,13.571,50.555,44.497
10,20,17,0,0,13,3,0,13,0,0
10,20,18,0,0,12,3,0,12,0,0
10,20,19,0,0,12,3,0,12,0,0
10,20,20,0,0,12,3,0,12,0,0
10,20,21,0,0,11,3,0,11,0,0
10,20,22,0,0,11,3,0,11,0,0
10,20,23,0,0,11,3,0,11,0,0
10,21,0,0,0,10,3,0,10,0,0
10,21,1,0,0,10,2,0,10,0,0
10,21,2,0,0,10,2,0,10,0,0
10,21,3,0,0,10,2,0,10,0,0
10,21,4,0,0,10,3,0,10,0,0
10,21,5,0,0,10,3,0,10,0,0
10,21,6,0,17,10,3,16.109,8.752,14.898,9.524
10,21,7,45,91,10,3,111.507,10.98,100.398,93.303
10,21,8,186,165,11,3,286.668,16.541,252.976,242.134
10,21,9,355,203,11,4,487.299,20.831,424.522,408.435
10,21,10,623,160,12,3,708.476,28.531,596.833,574.375
10,21,11,889,93,12,3,869.405,32.795,717.885,690.291
10,21,12,878,91,12,3,836.777,32.438,691.396,664.972
10,21,13,850,84,13,3,726.975,30.796,602.309,579.631
10,21,14,351,146,13,3,369.286,22.134,315.948,303.308
10,21,15,629,57,12,3,320.919,19.051,260.63,249.578
10,21,16,271,24,11,3,84.959,12.173,61.749,55.466
10,21,17,0,0,11,3,0,11,0,0
10,21,18,0,0,11,4,0,11,0,0
10,21,19,0,0,10,4,0,10,0,0
10,21,20,0,0,9,4,0,9,0,0
10,21,21,0,0,9,5,0,9,0,0
10,21,22,0,0,8,5,0,8,0,0
10,21,23,0,0,8,5,0,8,0,0
10,22,0,0,0,7,5,0,7,0,0
10,22,1,0,0,7,4,0,7,0,0
10,22,2,0,0,7,4,0,7,0,0
10,22,3,0,0,6,4,0,6,0,0
10,22,4,0,0,6,3,0,6,0,0
10,22,5,0,0,6,3,0,6,0,0
10,22,6,243,22,6,3,76.597,6.263,57.198,51.007
10,22,7,620,56,7,2,311.628,13.855,258.176,247.192
10,22,8,768,73,8,2,535.557,21.716,454.496,437.38
10,22,9,841,83,9,2,714.362,28.114,599.255,576.7
10,22,10,886,86,9,1,827.58,35.785,672.48,646.877
10,22,11,897,87,10,1,866.402,38.287,696.145,669.514
10,22,12,886,86,11,1,828.722,38.314,665.011,639.727
10,22,13,851,80,11,1,720.249,35.074,584.213,562.259
10,22,14,775,72,11,1,541.261,29.376,443.289,426.562
10,22,15,626,55,11,1,315.617,21.663,252.755,241.92
10,22,16,276,22,10,1,83.478,11.999,60.156,53.905
10,22,17,0,0,10,1,0,10,0,0
10,22,18,0,0,10,1,0,10,0,0
10,22,19,0,0,10,1,0,10,0,0
10,22,20,0,0,10,1,0,10,0,0
10,22,21,0,0,10,1,0,10,0,0
10,22,22,0,0,10,1,0,10,0,0
10,22,23,0,0,10,1,0,10,0,0
10,23,0,0,0,10,1,0,10,0,0
10,23,1,0,0,10,1,0,10,0,0
10,23,2,0,0,10,1,0,10,0,0
10,23,3,0,0,10,1,0,10,0,0
10,23,4,0,0,10,2,0,10,0,0
10,23,5,0,0,10,2,0,10,0,0
10,23,6,0,2,11,3,1.889,9.463,1.742,0
10,23,7,0,6,11,3,5.675,9.331,5.235,0.039
10,23,8,0,115,10,3,112.155,10.968,102.719,95.574
10,23,9,74,217,9,4,281.178,13.883,253.678,242.818
10,23,10,3,178,8,5,177.146,10.525,162.549,154.032
10,23,11,0,131,8,6,126.294,9.191,116.575,109.124
10,23,12,32,231,8,5,267.551,12.046,243.771,233.18
10,23,13,104,223,8,5,309.891,13.114,280.394,268.787
10,23,14,523,111,9,5,435.315,16.651,379.815,365.2
10,23,15,262,83,9,5,196.026,12.162,168.576,159.914
10,23,16,191,24,8,5,68.122,8.233,51.919,45.834
10,23,17,0,0,8,5,0,8,0,0
10,23,18,0,0,8,5,0,8,0,0
10,23,19,0,0,7,5,0,7,0,0
10,23,20,0,0,7,5,0,7,0,0
10,23,21,0,0,7,5,0,7,0,0
10,23,22,0,0,6,5,0,6,0,0
10,23,23,0,0,6,5,0,6,0,0
10,24,0,0,0,6,5,0,6,0,0
10,24,1,0,0,5,5,0,5,0,0
10,24,2,0,0,5,5,0,5,0,0
10,24,3,0,0,5,4,0,5,0,0
10,24,4,0,0,5,4,0,5,0,0
10,24,5,0,0,5,4,0,5,0,0
10,24,6,262,20,5,4,77.852,5.213,57.508,51.31
10,24,7,650,53,6,4,315.438,11.552,262.785,251.673
10,24,8,802,69,7,3,546.679,19.383,468.281,450.68
10,24,9,875,78,8,3,728.27,25.255,618.88,595.528
10,24,10,914,81,8,2,839.062,30.975,697.824,671.119
10,24,11,924,82,9,2,877.54,33.245,722.733,694.922
10,24,12,911,80,9,1,836.158,36.717,676.121,650.361
10,24,13,865,78,9,1,722.408,33.299,590.744,568.53
10,24,14,456,122,9,1,407.785,23.457,345.275,331.747
10,24,15,175,87,9,1,166.791,14.256,143.85,135.776
10,24,16,17,20,9,1,22.844,8.076,20.189,14.717
10,24,17,0,0,9,1,0,9,0,0
10,24,18,0,0,8,1,0,8,0,0
10,24,19,0,0,8,1,0,8,0,0
10,24,20,0,0,8,1,0,8,0,0
10,24,21,0,0,8,1,0,8,0,0
10,24,22,0,0,8,1,0,8,0,0
10,24,23,0,0,8,1,0,8,0,0
10,25,0,0,0,8,1,0,8,0,0
10,25,1,0,0,7,2,0,7,0,0
10,25,2,0,0,7,2,0,7,0,0
10,25,3,0,0,7,3,0,7,0,0
10,25,4,0,0,6,3,0,6,0,0
10,25,5,0,0,6,3,0,6,0,0
10,25,6,203,19,6,4,65.525,5.844,49.312,43.278
10,25,7,295,77,7,3,205.605,10.421,177.101,168.231
10,25,8,599,92,8,3,457.268,17.933,395.399,380.28
10,25,9,842,83,9,2,708.095,27.699,594.753,572.378
10,25,10,646,145,9,2,703.176,28.379,592.468,570.185
10,25,11,896,88,10,2,858.228,33.283,706.637,679.543
10,25,12,598,160,10,2,681.285,29.252,571.731,550.27
10,25,13,625,125,10,2,604.424,26.694,510.8,491.661
10,25,14,711,69,11,2,494.061,24.521,413.41,397.696
10,25,15,572,50,10,2,283.96,17.549,230.751,220.509
10,25,16,0,28,9,3,27.982,8.64,25.891,20.311
10,25,17,0,0,9,3,0,9,0,0
10,25,18,0,0,9,4,0,9,0,0
10,25,19,0,0,10,4,0,10,0,0
10,25,20,0,0,10,5,0,10,0,0
10,25,21,0,0,10,5,0,10,0,0
10,25,22,0,0,10,6,0,10,0,0
10,25,23,0,0,10,6,0,10,0,0
10,26,0,0,0,10,7,0,10,0,0
10,26,1,0,0,10,7,0,10,0,0
10,26,2,0,0,9,7,0,9,0,0
10,26,3,0,0,9,7,0,9,0,0
10,26,4,0,0,9,7,0,9,0,0
10,26,5,0,0,10,7,0,10,0,0
10,26,6,0,7,10,8,6.62,9.081,6.114,0.901
10,26,7,0,58,10,9,55.853,9.81,51.415,45.339
10,26,8,156,156,11,10,258.677,13.467,231.465,221.205
10,26,9,0,52,12,10,49.37,11.924,45.026,39.076
10,26,10,8,191,13,9,195.225,14.782,175.764,166.927
10,26,11,0,25,13,6,23.729,12.446,21.591,16.092
10,26,12,0,63,14,3,59.862,13.784,54.144,48.014
10,26,13,0,82,14,2,77.943,14.369,70.315,63.857
10,26,14,73,154,14,4,202.656,17.114,179.276,170.352
10,26,15,356,84,13,6,236.298,16.216,197.644,188.261
10,26,16,62,20,12,7,35.465,11.704,28.787,23.152
10,26,17,0,0,11,7,0,11,0,0
10,26,18,0,0,11,7,0,11,0,0
10,26,19,0,0,10,7,0,10,0,0
10,26,20,0,0,10,7,0,10,0,0
10,26,21,0,0,10,6,0,10,0,0
10,26,22,0,0,10,6,0,10,0,0
10,26,23,0,0,10,6,0,10,0,0
10,27,0,0,0,10,6,0,10,0,0
10,27,1,0,0,9,6,0,9,0,0
10,27,2,0,0,9,6,0,9,0,0
10,27,3,0,0,9,6,0,9,0,0
10,27,4,0,0,9,5,0,9,0,0
10,27,5,0,0,9,5,0,9,0,0
10,27,6,164,18,9,5,56.857,8.751,42.966,37.057
10,27,7,580,57,9,5,291.174,13.403,240.845,230.333
10,27,8,755,74,9,4,519.654,19.546,444.39,427.624
10,27,9,840,83,10,4,701.916,24.99,596.868,574.409
10,27,10,884,86,11,4,812.664,28.717,682.982,656.925
10,27,11,513,198,12,4,664.775,26.757,565.157,543.953
10,27,12,879,87,13,4,815.777,30.655,679.276,653.38
10,27,13,843,81,13,4,702.027,28.539,587,564.935
10,27,14,753,74,13,4,518.917,24.368,434.001,417.592
10,27,15,568,58,13,4,288.148,18.951,232.719,222.425
10,27,16,130,18,13,4,48.804,13.133,36.794,31.005
10,27,17,0,0,12,4,0,12,0,0
10,27,18,0,0,12,4,0,12,0,0
10,27,19,0,0,11,5,0,11,0,0
10,27,20,0,0,10,5,0,10,0,0
10,27,21,0,0,10,5,0,10,0,0
10,27,22,0,0,9,5,0,9,0,0
10,27,23,0,0,9,5,0,9,0,0
10,28,0,0,0,9,5,0,9,0,0
10,28,1,0,0,9,5,0,9,0,0
10,28,2,0,0,9,4,0,9,0,0
10,28,3,0,0,8,4,0,8,0,0
10,28,4,0,0,8,4,0,8,0,0
10,28,5,0,0,8,3,0,8,0,0
10,28,6,164,16,8,3,54.429,7.629,40.921,35.052
10,28,7,582,53,8,3,286.264,13.375,236.17,225.784
10,28,8,583,92,9,2,443.799,20.158,379.42,364.818
10,28,9,837,80,10,2,693.93,28.252,580.853,559.033
10,28,10,725,117,10,2,728.419,29.942,608.749,585.81
10,28,11,528,190,10,2,666.629,28.46,562.076,540.992
10,28,12,415,212,10,3,583.879,24.112,502.248,483.424
10,28,13,461,165,11,3,523.449,23.453,449.493,432.551
10,28,14,490,109,11,3,407.103,20.53,348.266,334.646
10,28,15,2,75,10,3,75.278,11.162,68.804,62.377
10,28,16,0,9,10,3,8.516,8.588,7.881,2.637
10,28,17,0,0,9,4,0,9,0,0
10,28,18,0,0,9,4,0,9,0,0
10,28,19,0,0,8,5,0,8,0,0
10,28,20,0,0,8,5,0,8,0,0
10,28,21,0,0,7,5,0,7,0,0
10,28,22,0,0,7,5,0,7,0,0
10,28,23,0,0,7,5,0,7,0,0
10,29,0,0,0,6,5,0,6,0,0
10,29,1,0,0,6,6,0,6,0,0
10,29,2,0,0,5,6,0,5,0,0
10,29,3,0,0,5,6,0,5,0,0
10,29,4,0,0,5,6,0,5,0,0
10,29,5,0,0,5,6,0,5,0,0
10,29,6,236,15,5,5,66.796,4.869,48.751,42.728
10,29,7,661,47,5,5,305.718,9.678,254.569,243.684
10,29,8,817,63,6,5,537.884,15.638,467.159,449.599
10,29,9,892,71,6,4,714.854,21.361,617.674,594.37
10,29,10,895,87,7,3,822.921,26.925,697.337,670.653
10,29,11,907,87,7,3,854.797,27.935,721.85,694.079
10,29,12,288,239,7,3,502.605,19.742,441.404,424.741
10,29,13,199,208,8,3,368.556,16.582,327.586,314.598
10,29,14,22,136,8,3,147.945,10.838,135.154,127.281
10,29,15,0,72,7,3,71.438,7.321,66.48,60.1
10,29,16,0,8,7,3,7.568,5.508,7.098,1.868
10,29,17,0,0,7,3,0,7,0,0
10,29,18,0,0,7,3,0,7,0,0
10,29,19,0,0,7,3,0,7,0,0
10,29,20,0,0,7,3,0,7,0,0
10,29,21,0,0,7,3,0,7,0,0
10,29,22,0,0,7,4,0,7,0,0
10,29,23,0,0,7,4,0,7,0,0
10,30,0,0,0,6,4,0,6,0,0
10,30,1,0,0,6,4,0,6,0,0
10,30,2,0,0,6,4,0,6,0,0
10,30,3,0,0,6,4,0,6,0,0
10,30,4,0,0,6,4,0,6,0,0
10,30,5,0,0,6,4,0,6,0,0
10,30,6,0,3,6,5,2.835,4.611,2.669,0
10,30,7,14,74,6,5,78.989,6.107,73.308,66.787
10,30,8,377,124,7,5,358.896,12.756,318.846,306.12
10,30,9,46,193,7,5,234.94,10.785,214.958,205.131
10,30,10,77,240,8,5,315.287,13.166,285.649,273.893
10,30,11,194,261,8,4,448.307,17.022,399.055,383.816
10,30,12,25,211,8,4,230.785,12.49,209.847,200.153
10,30,13,114,207,8,4,307.803,13.727,277.524,265.999
10,30,14,4,125,9,4,126.142,10.858,115.507,108.08
10,30,15,25,75,8,4,87.478,8.584,79.923,73.265
10,30,16,0,8,8,4,7.568,6.707,7.062,1.832
10,30,17,0,0,8,4,0,8,0,0
10,30,18,0,0,7,4,0,7,0,0
10,30,19,0,0,7,5,0,7,0,0
10,30,20,0,0,7,5,0,7,0,0
10,30,21,0,0,6,4,0,6,0,0
10,30,22,0,0,6,4,0,6,0,0
10,30,23,0,0,6,4,0,6,0,0
10,31,0,0,0,6,4,0,6,0,0
10,31,1,0,0,6,4,0,6,0,0
10,31,2,0,0,6,4,0,6,0,0
10,31,3,0,0,6,4,0,6,0,0
10,31,4,0,0,6,4,0,6,0,0
10,31,5,0,0,6,4,0,6,0,0
10,31,6,0,4,6,4,3.78,4.424,3.562,0
10,31,7,440,56,6,4,233.765,9.568,197.144,187.774
10,31,8,405,118,7,4,366.768,14.037,323.5,310.635
10,31,9,848,75,8,4,688.478,22.413,591.793,569.537
10,31,10,896,78,8,3,801.882,27.332,677.905,652.068
10,31,11,906,81,9,3,841.203,29.489,704.901,677.884
10,31,12,893,80,9,2,801.685,31.327,664.877,639.599
10,31,13,858,74,10,1,693.866,33.259,566.339,545.089
10,31,14,774,65,9,1,511.602,26.464,422.304,406.292
10,31,15,601,48,9,1,283.233,18.542,226.703,216.568
10,31,16,150,12,8,1,46.361,8.549,34.109,28.372
10,31,17,0,0,8,1,0,8,0,0
10,31,18,0,0,8,1,0,8,0,0
10,31,19,0,0,14,2,0,14,0,0
10,31,20,0,0,14,2,0,14,0,0
10,31,21,0,0,14,3,0,14,0,0
10,31,22,0,0,13,3,0,13,0,0
10,31,23,0,0,13,4,0,13,0,0
11,1,0,0,0,13,4,0,13,0,0
11,1,1,0,0,13,5,0,13,0,0
11,1,2,0,0,12,5,0,12,0,0
11,1,3,0,0,11,6,0,11,0,0
11,1,4,0,0,11,6,0,11,0,0
11,1,5,0,0,11,5,0,11,0,0
11,1,6,0,14,11,5,13.266,9.93,12.206,6.881
11,1,7,584,47,11,6,275.002,14.631,223.896,213.836
11,1,8,753,65,12,6,498.476,19.928,424.069,407.997
11,1,9,833,75,12,6,675.618,23.338,578.095,556.383
11,1,10,879,77,12,6,784.645,25.484,669.047,643.591
11,1,11,887,80,13,6,821.731,27.283,695.783,669.168
11,1,12,724,111,13,5,711.697,26.898,603.094,580.384
11,1,13,702,94,13,5,609.111,24.727,518.198,498.784
11,1,14,769,62,13,5,503.282,22.498,422.888,406.855
11,1,15,604,45,13,4,277.637,18.685,221.289,211.297
11,1,16,158,11,12,4,46.504,12.046,33.257,27.536
11,1,17,0,0,12,5,0,12,0,0
11,1,18,0,0,11,5,0,11,0,0
11,1,19,0,0,10,5,0,10,0,0
11,1,20,0,0,10,4,0,10,0,0
11,1,21,0,0,10,4,0,10,0,0
11,1,22,0,0,9,4,0,9,0,0
11,1,23,0,0,8,4,0,8,0,0
11,2,0,0,0,8,3,0,8,0,0
11,2,1,0,0,8,3,0,8,0,0
11,2,2,0,0,8,3,0,8,0,0
11,2,3,0,0,8,3,0,8,0,0
11,2,4,0,0,7,2,0,7,0,0
11,2,5,0,0,7,2,0,7,0,0
11,2,6,82,10,8,2,29.387,6.85,22.556,17.039
11,2,7,42,71,8,2,89.545,8.49,81.127,74.444
11,2,8,0,103,9,1,100.771,10.289,92.569,85.643
11,2,9,18,170,10,1,181.924,14.081,164.171,155.615
11,2,10,71,232,10,1,301.713,18.416,266.945,255.718
11,2,11,0,139,11,1,134.951,14.63,121.601,114.037
11,2,12,223,235,11,1,434.157,23.351,374.97,360.51
11,2,13,189,204,11,2,356.058,20.278,311.08,298.584
11,2,14,254,132,11,2,290.569,18.241,252.596,241.765
11,2,15,10,67,11,3,70.376,11.73,63.819,57.494
11,2,16,0,0,11,3,0,11,0,0
11,2,17,0,0,11,4,0,11,0,0
11,2,18,0,0,12,4,0,12,0,0
11,2,19,0,0,12,4,0,12,0,0
