PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,10,20,0,0,5,1,0,5,0,0
1,10,21,0,0,5,1,0,5,0,0
1,10,22,0,0,5,2,0,5,0,0
1,10,23,0,0,5,2,0,5,0,0
1,11,0,0,0,5,2,0,5,0,0
1,11,1,0,0,6,2,0,6,0,0
1,11,2,0,0,6,3,0,6,0,0
1,11,3,0,0,7,4,0,7,0,0
1,11,4,0,0,7,4,0,7,0,0
1,11,5,0,0,7,5,0,7,0,0
1,11,6,0,0,8,5,0,8,0,0
1,11,7,0,4,9,6,3.78,7.795,3.511,0
1,11,8,0,34,9,6,32.239,8.304,29.873,24.218
1,11,9,0,61,9,6,57.921,8.797,53.555,47.437
1,11,10,0,79,9,6,75.239,9.137,69.465,63.024
1,11,11,0,134,10,7,131.981,11.067,120.824,113.278
1,11,12,0,107,10,7,103.566,10.671,94.977,87.999
1,11,13,0,106,10,8,103.368,10.582,94.832,87.858
1,11,14,0,38,11,8,36.032,10.592,33.055,27.339
1,11,15,0,10,11,8,9.46,10.138,8.696,3.436
1,11,16,0,0,11,8,0,11,0,0
1,11,17,0,0,11,8,0,11,0,0
1,11,18,0,0,11,8,0,11,0,0
1,11,19,0,0,11,8,0,11,0,0
1,11,20,0,0,11,8,0,11,0,0
1,11,21,0,0,10,6,0,10,0,0
1,11,22,0,0,9,4,0,9,0,0
1,11,23,0,0,8,4,0,8,0,0
1,12,0,0,0,8,4,0,8,0,0
1,12,1,0,0,8,4,0,8,0,0
1,12,2,0,0,8,5,0,8,0,0
1,12,3,0,0,7,5,0,7,0,0
1,12,4,0,0,6,5,0,6,0,0
1,12,5,0,0,6,6,0,6,0,0
1,12,6,0,0,5,7,0,5,0,0
1,12,7,0,23,5,6,22.991,4.106,21.694,16.193
1,12,8,257,69,5,6,197.396,7.224,174.579,165.77
1,12,9,753,66,5,6,518.09,13.122,456.526,439.339
1,12,10,546,120,6,6,522.836,14.634,465.908,448.391
1,12,11,473,155,6,6,540.567,14.952,483.307,465.17
1,12,12,473,153,6,6,535.765,14.891,478.999,461.017
1,12,13,350,151,6,6,410.847,12.681,369.743,355.45
1,12,14,430,96,6,6,357.818,11.58,318.14,305.434
1,12,15,547,47,5,6,276.441,9.065,233.778,223.456
1,12,16,0,0,5,6,0,5,0,0
1,12,17,0,0,4,6,0,4,0,0
1,12,18,0,0,4,6,0,4,0,0
1,12,19,0,0,4,5,0,4,0,0
1,12,20,0,0,3,5,0,3,0,0
1,12,21,0,0,3,5,0,3,0,0
1,12,22,0,0,2,5,0,2,0,0
1,12,23,0,0,2,5,0,2,0,0
1,13,0,0,0,2,4,0,2,0,0
1,13,1,0,0,2,4,0,2,0,0
1,13,2,0,0,2,4,0,2,0,0
1,13,3,0,0,2,4,0,2,0,0
1,13,4,0,0,2,4,0,2,0,0
1,13,5,0,0,2,3,0,2,0,0
1,13,6,0,0,2,3,0,2,0,0
1,13,7,265,16,3,3,91.037,3.358,71.203,64.726
1,13,8,640,44,4,3,326.308,10.47,276.975,265.465
1,13,9,784,59,5,3,528.389,17.01,457.325,440.11
1,13,10,852,66,6,3,669.919,21.893,576.222,554.584
1,13,11,882,69,6,3,736.828,23.834,631.112,607.255
1,13,12,877,69,7,3,729.081,24.789,621.469,598.01
1,13,13,597,105,7,3,536.901,20.231,465.649,448.141
1,13,14,486,89,7,3,381.253,15.992,331.934,318.814
